topic,description,difficulty,remark,subfield,geometric_structure_data
Sum_of_Interior_Angles_Triangle,The sum of the interior angles of any triangle equals 180 degrees.,Easy,Fundamental theorem in Euclidean geometry.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Sum_of_Interior_Angles_Triangle; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.8,h=2.0; TEXT:A(0,0,0),'A+B+C=180°'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Sum_of_Interior_Angles_Quadrilateral,The sum of the interior angles of a quadrilateral is 360 degrees.,Easy,Basic polygon angle property.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Sum_of_Interior_Angles_Quadrilateral; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.0,h=2.0; TEXT:A(0,0,0),'A+B+C+D=360°'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Exterior_Angle_Theorem,An exterior angle of a triangle equals the sum of the two remote interior angles.,Easy,Commonly used in angle-chasing problems.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Exterior_Angle_Theorem; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.2,h=2.0; TEXT:A(0,0,0),'Exterior angle = sum of remote interior angles'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Isosceles_Triangle_Base_Angles,"In an isosceles triangle, the base angles are equal.",Easy,Direct consequence of equal sides.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Isosceles_Triangle_Base_Angles; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.2,h=2.0; TEXT:A(0,0,0),'Equal sides ⇒ equal base angles'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Circle_Circumference,The circumference of a circle is C = 2πr.,Easy,Basic circle measurement formula.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Circle_Circumference; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.4,h=2.0; TEXT:A(0,0,0),'C=2πr'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Circle_Area,The area of a circle is A = πr².,Easy,One of the most common geometry formulas.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Circle_Area; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.0,h=2.0; TEXT:A(0,0,0),'A=πr²'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Arc_Length_Formula,Arc length is given by s = rθ when θ is measured in radians.,Easy,Links angle measure with distance on a circle.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Arc_Length_Formula; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.6,h=2.0; TEXT:A(0,0,0),'s=rθ'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Sector_Area_Formula,The area of a sector is A = 1/2 r²θ (θ in radians).,Easy,Derived from full circle area.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Sector_Area_Formula; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.0,h=2.0; TEXT:A(0,0,0),'A=1/2 r²θ'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Distance_Formula_2D,The distance between two points in the plane is d = √((x2−x1)²+(y2−y1)²).,Easy,Derived from the Pythagorean theorem.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Distance_Formula_2D; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.8,h=2.2; TEXT:A(0,0,0),'d=√((x2-x1)²+(y2-y1)²)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Midpoint_Formula,"The midpoint of a segment joining two points is ((x1+x2)/2, (y1+y2)/2).",Easy,Used frequently in coordinate geometry.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Midpoint_Formula; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.4,h=2.2; TEXT:A(0,0,0),'((x1+x2)/2,(y1+y2)/2)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Slope_Formula,The slope between two points is m = (y2−y1)/(x2−x1).,Easy,Core concept in analytic geometry.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Slope_Formula; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.0,h=2.0; TEXT:A(0,0,0),'m=(y2-y1)/(x2-x1)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Point_Slope_Form,Equation of a line: y − y1 = m(x − x1).,Easy,Basic linear equation representation.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Point_Slope_Form; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.4,h=2.0; TEXT:A(0,0,0),'y-y1=m(x-x1)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Slope_Intercept_Form,Equation of a line in slope-intercept form is y = mx + b.,Easy,Most common linear equation form.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Slope_Intercept_Form; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.8,h=2.0; TEXT:A(0,0,0),'y=mx+b'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Absolute_Value_Definition,"Absolute value represents distance from zero: |x| = x if x≥0, and −x if x<0.",Easy,Foundation for inequalities and distance.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Absolute_Value_Definition; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.6,h=2.2; TEXT:A(0,0,0),'|x|=x(x≥0), -x(x<0)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Quadratic_Standard_Form,A quadratic function is commonly written as y = ax² + bx + c.,Easy,Standard representation of parabolas.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Quadratic_Standard_Form; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.6,h=2.0; TEXT:A(0,0,0),'y=ax²+bx+c'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Difference_of_Squares,Difference of squares identity: a² − b² = (a−b)(a+b).,Easy,Classic algebraic factoring identity.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Difference_of_Squares; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.8,h=2.0; TEXT:A(0,0,0),'a²-b²=(a-b)(a+b)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Distributive_Property,Distributive property: a(b+c)=ab+ac.,Easy,Fundamental arithmetic-algebra rule.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Distributive_Property; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=7.8,h=2.0; TEXT:A(0,0,0),'a(b+c)=ab+ac'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Commutative_Property_Addition,Changing the order of addition does not change the result: a+b=b+a.,Easy,Basic arithmetic law.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Commutative_Property_Addition; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.2,h=2.0; TEXT:A(0,0,0),'a+b=b+a'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Commutative_Property_Multiplication,Changing the order of multiplication does not change the result: ab=ba.,Easy,Fundamental multiplication property.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Commutative_Property_Multiplication; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.4,h=2.0; TEXT:A(0,0,0),'ab=ba'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Associative_Property_Addition,Grouping does not affect addition: (a+b)+c=a+(b+c).,Easy,Used in algebraic simplification.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Associative_Property_Addition; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.8,h=2.0; TEXT:A(0,0,0),'(a+b)+c=a+(b+c)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Factor_Theorem,A polynomial f(x) has (x - a) as a factor if and only if f(a) = 0. This theorem is used to find roots and factors of polynomials.,Medium,Crucial for solving polynomial equations and analyzing their properties.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Factor_Theorem; mode=hypothesized; source=hypothesized; confidence=0.60; steps=2; OBJ_1=formula_box; BOX:C(0,0,0),w=9.5,h=2.4; P: TL(-4.75,1.2,0), TR(4.75,1.2,0), BR(4.75,-1.2,0), BL(-4.75,-1.2,0); E: TOP(TL,TR,L=9.5,type=box_edge), RIGHT(TR,BR,L=2.4,type=box_edge), BOTTOM(BR,BL,L=9.5,type=box_edge), LEFT(BL,TL,L=2.4,type=box_edge); TEXT:A(0,0,0),align=center,content='f(a)=0 ⇔ (x−a) is a factor of f(x)'; OPS: create_box(C=0,0,0,w=9.5,h=2.4), place_text(A=0,0,0)."
Law_of_Sines,"In any triangle, the ratio of a side length to the sine of its opposite angle is constant. If the side lengths are a, b, c with opposite angles A, B, C, then a/sin(A) = b/sin(B) = c/sin(C).",Medium,Often used to solve triangles when side-angle relationships are known.,Trigonometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Law_of_Sines; mode=hypothesized; source=hypothesized; confidence=0.60; steps=6; OBJ_1=triangle; P: A(-2,0,0), B(2,0,0), C(0,2.5,0); E: AB(A,B,L=4.0,type=side), BC(B,C,L=3.2015621187164243,type=side), CA(C,A,L=3.2015621187164243,type=side); ANG: Aang(at=A), Bang(at=B), Cang(at=C); REL: opposite_side_angle(AB,Cang), opposite_side_angle(BC,Aang), opposite_side_angle(CA,Bang); OBJ_2=formula_box; BOX:C(0,-2.4,0),w=10.5,h=2.5; P: TL(-5.25,-1.15,0), TR(5.25,-1.15,0), BR(5.25,-3.65,0), BL(-5.25,-3.65,0); E: TOP(TL,TR,L=10.5,type=box_edge), RIGHT(TR,BR,L=2.5,type=box_edge), BOTTOM(BR,BL,L=10.5,type=box_edge), LEFT(BL,TL,L=2.5,type=box_edge); TEXT:A2(0,-2.4,0),align=center,content='a/sinA = b/sinB = c/sinC'; OPS: pt(A,-2,0,0), pt(B,2,0,0), pt(C,0,2.5,0), ed(AB,A,B), ed(BC,B,C), ed(CA,C,A), mark_angle(A), mark_angle(B), mark_angle(C), create_box(C=0,-2.4,0,w=10.5,h=2.5), place_text(A=0,-2.4,0)."
Binomial_Theorem,"For any nonnegative integer n and real numbers a and b: (a + b)^n = Σ(k=0 to n) C(n,k) a^(n−k) b^k.",Medium,"Has important applications in algebra, combinatorics, and probability theory.",Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Binomial_Theorem; mode=hypothesized; source=hypothesized; confidence=0.60; steps=2; OBJ_1=formula_box; BOX:C(0,0,0),w=11.0,h=2.6; P: TL(-5.5,1.3,0), TR(5.5,1.3,0), BR(5.5,-1.3,0), BL(-5.5,-1.3,0); E: TOP(TL,TR,L=11.0,type=box_edge), RIGHT(TR,BR,L=2.6,type=box_edge), BOTTOM(BR,BL,L=11.0,type=box_edge), LEFT(BL,TL,L=2.6,type=box_edge); TEXT:A(0,0,0),align=center,content='(a+b)^n = Σ_{k=0..n} C(n,k) a^(n−k) b^k'; OPS: create_box(C=0,0,0,w=11.0,h=2.6), place_text(A=0,0,0)."
Intermediate_Value_Theorem,"If f is continuous on [a,b] and k lies between f(a) and f(b), then there exists c in [a,b] such that f(c)=k.",Medium,A key foundation for understanding the behavior of continuous functions in calculus.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Intermediate_Value_Theorem; mode=hypothesized; source=hypothesized; confidence=0.60; steps=8; OBJ_1=axes; P: X1(-4,0,0), X2(4,0,0), Y1(0,-2.8,0), Y2(0,2.8,0), O(0,0,0); E: XAXIS(X1,X2,L=8.0,type=x_axis), YAXIS(Y1,Y2,L=5.6,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=curve_segment; P: A(-3,-1.5,0)[f(a)], B(3,1.8,0)[f(b)], Cpt(0,0.4,0)[f(c)=k]; E: ABcurve(A,B,type=continuous_curve); OBJ_3=level_line; P: L1(-4,0.4,0), L2(4,0.4,0); E: LL(L1,L2,L=8.0,type=level_line); REL: intersects(ABcurve,LL,at=Cpt); OBJ_4=formula_box; BOX:C(0,-2.6,0),w=11.5,h=2.8; P: TL(-5.75,-1.2,0), TR(5.75,-1.2,0), BR(5.75,-4.0,0), BL(-5.75,-4.0,0); E: TOP(TL,TR,L=11.5,type=box_edge), RIGHT(TR,BR,L=2.8,type=box_edge), BOTTOM(BR,BL,L=11.5,type=box_edge), LEFT(BL,TL,L=2.8,type=box_edge); TEXT:A2(0,-2.6,0),align=center,content='f continuous on [a,b] and k between f(a),f(b) ⇒ ∃c∈[a,b]: f(c)=k'; OPS: create_axes(O), draw_curve(A,B), draw_line(L1,L2), pt(Cpt,0,0.4,0), create_box(C=0,-2.6,0,w=11.5,h=2.8), place_text(A=0,-2.6,0)."
Law_of_Cosines,"In any triangle, a² = b² + c² − 2bc·cos(A), where A is the angle opposite side a (and similarly for the other sides).",Medium,Applicable to side-angle computations in any triangle.,Trigonometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Law_of_Cosines; mode=hypothesized; source=hypothesized; confidence=0.60; steps=6; OBJ_1=triangle; P: A(-2,0,0), B(2,0,0), C(0,2.2,0); E: AB(A,B,L=4.0,type=side), BC(B,C,L=2.973213749463701,type=side), CA(C,A,L=2.973213749463701,type=side); ANG: Aang(at=A), Bang(at=B), Cang(at=C); REL: included_angle(Bang,between=BA and BC), opposite_side_angle(AC,Bang), label_side(a=AC), label_side(b=BC), label_side(c=AB); OBJ_2=formula_box; BOX:C(0,-2.4,0),w=10.0,h=2.4; P: TL(-5.0,-1.2,0), TR(5.0,-1.2,0), BR(5.0,-3.6,0), BL(-5.0,-3.6,0); E: TOP(TL,TR,L=10.0,type=box_edge), RIGHT(TR,BR,L=2.4,type=box_edge), BOTTOM(BR,BL,L=10.0,type=box_edge), LEFT(BL,TL,L=2.4,type=box_edge); TEXT:A2(0,-2.4,0),align=center,content='a² = b² + c² − 2bc·cos(A)'; OPS: pt(A,-2,0,0), pt(B,2,0,0), pt(C,0,2.2,0), ed(AB,A,B), ed(BC,B,C), ed(CA,C,A), mark_angle(A), mark_angle(B), mark_angle(C), create_box(C=0,-2.4,0,w=10.0,h=2.4), place_text(A=0,-2.4,0)."
Divergence_Test,"If lim(n→∞) a_n ≠ 0 or the limit does not exist, then the series Σ a_n diverges. This test can show divergence but cannot prove convergence.",Medium,A primary first check for series convergence.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Divergence_Test; mode=hypothesized; source=hypothesized; confidence=0.60; steps=2; OBJ_1=formula_box; BOX:C(0,0,0),w=9.8,h=2.4; P: TL(-4.9,1.2,0), TR(4.9,1.2,0), BR(4.9,-1.2,0), BL(-4.9,-1.2,0); E: TOP(TL,TR,L=9.8,type=box_edge), RIGHT(TR,BR,L=2.4,type=box_edge), BOTTOM(BR,BL,L=9.8,type=box_edge), LEFT(BL,TL,L=2.4,type=box_edge); TEXT:A(0,0,0),align=center,content='If lim_{n→∞} a_n ≠ 0 (or DNE) ⇒ Σ a_n diverges'; OPS: create_box(C=0,0,0,w=9.8,h=2.4), place_text(A=0,0,0)."
Squeeze_Theorem,"If g(x) ≤ f(x) ≤ h(x) near a, and lim(x→a) g(x) = lim(x→a) h(x) = L, then lim(x→a) f(x) = L.",Medium,A commonly used technique in limit calculations.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Squeeze_Theorem; mode=hypothesized; source=hypothesized; confidence=0.60; steps=8; OBJ_1=axes; P: X1(-4,0,0), X2(4,0,0), Y1(0,-3,0), Y2(0,3,0), O(0,0,0); E: XAXIS(X1,X2,L=8.0,type=x_axis), YAXIS(Y1,Y2,L=6.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=bounding_curves; P: A(-3,0,0), B(3,0,0); E: gcurve(A,B,type=lower_bound), fcurve(A,B,type=middle), hcurve(A,B,type=upper_bound); REL: inequality(g≤f≤h,near=a); OBJ_3=formula_box; BOX:C(0,-2.6,0),w=11.0,h=2.6; P: TL(-5.5,-1.3,0), TR(5.5,-1.3,0), BR(5.5,-3.9,0), BL(-5.5,-3.9,0); E: TOP(TL,TR,L=11.0,type=box_edge), RIGHT(TR,BR,L=2.6,type=box_edge), BOTTOM(BR,BL,L=11.0,type=box_edge), LEFT(BL,TL,L=2.6,type=box_edge); TEXT:A2(0,-2.6,0),align=center,content='g≤f≤h and lim g=lim h=L ⇒ lim f=L'; OPS: create_axes(O), draw_curve(gcurve), draw_curve(fcurve), draw_curve(hcurve), create_box(C=0,-2.6,0,w=11.0,h=2.6), place_text(A=0,-2.6,0)."
Chain_Rule,"For a composite function y = f(g(x)), the derivative is y' = f'(g(x))·g'(x).",Medium,The most commonly used rule for differentiating composite functions.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Chain_Rule; mode=hypothesized; source=hypothesized; confidence=0.60; steps=2; OBJ_1=formula_box; BOX:C(0,0,0),w=9.0,h=2.2; P: TL(-4.5,1.1,0), TR(4.5,1.1,0), BR(4.5,-1.1,0), BL(-4.5,-1.1,0); E: TOP(TL,TR,L=9.0,type=box_edge), RIGHT(TR,BR,L=2.2,type=box_edge), BOTTOM(BR,BL,L=9.0,type=box_edge), LEFT(BL,TL,L=2.2,type=box_edge); TEXT:A(0,0,0),align=center,content='If y=f(g(x)), then dy/dx = f′(g(x))·g′(x)'; OPS: create_box(C=0,0,0,w=9.0,h=2.2), place_text(A=0,0,0)."
Product_Rule,"For y = f(x)g(x), the derivative is y' = f'(x)g(x) + f(x)g'(x).",Medium,Used for differentiating products of functions.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Product_Rule; mode=hypothesized; source=hypothesized; confidence=0.60; steps=2; OBJ_1=formula_box; BOX:C(0,0,0),w=9.2,h=2.2; P: TL(-4.6,1.1,0), TR(4.6,1.1,0), BR(4.6,-1.1,0), BL(-4.6,-1.1,0); E: TOP(TL,TR,L=9.2,type=box_edge), RIGHT(TR,BR,L=2.2,type=box_edge), BOTTOM(BR,BL,L=9.2,type=box_edge), LEFT(BL,TL,L=2.2,type=box_edge); TEXT:A(0,0,0),align=center,content='(fg)′ = f′g + fg′'; OPS: create_box(C=0,0,0,w=9.2,h=2.2), place_text(A=0,0,0)."
Quotient_Rule,"For y = f(x)/g(x) with g(x)≠0, the derivative is y' = (f'(x)g(x) − f(x)g'(x)) / [g(x)]².",Medium,Used for differentiating quotients of functions.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Quotient_Rule; mode=hypothesized; source=hypothesized; confidence=0.60; steps=2; OBJ_1=formula_box; BOX:C(0,0,0),w=9.2,h=2.3; P: TL(-4.6,1.15,0), TR(4.6,1.15,0), BR(4.6,-1.15,0), BL(-4.6,-1.15,0); E: TOP(TL,TR,L=9.2,type=box_edge), RIGHT(TR,BR,L=2.3,type=box_edge), BOTTOM(BR,BL,L=9.2,type=box_edge), LEFT(BL,TL,L=2.3,type=box_edge); TEXT:A(0,0,0),align=center,content='(f/g)′ = (f′g − fg′) / g²'; OPS: create_box(C=0,0,0,w=9.2,h=2.3), place_text(A=0,0,0)."
Power_Rule,"If f(x)=x^n for a real constant n, then f'(x)=n·x^(n−1).",Medium,One of the most basic differentiation rules.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Power_Rule; mode=hypothesized; source=hypothesized; confidence=0.60; steps=2; OBJ_1=formula_box; BOX:C(0,0,0),w=9.0,h=2.3; P: TL(-4.5,1.15,0), TR(4.5,1.15,0), BR(4.5,-1.15,0), BL(-4.5,-1.15,0); E: TOP(TL,TR,L=9.0,type=box_edge), RIGHT(TR,BR,L=2.3,type=box_edge), BOTTOM(BR,BL,L=9.0,type=box_edge), LEFT(BL,TL,L=2.3,type=box_edge); TEXT:A(0,0,0),align=center,content='If f(x)=x^n, then f′(x)=n·x^(n−1)'; OPS: create_box(C=0,0,0,w=9.0,h=2.3), place_text(A=0,0,0)."
u_Substitution_Substitution_Rule,"To evaluate an integral of the form ∫ f(g(x))·g'(x) dx, set u=g(x). Then du=g'(x)dx and ∫ f(g(x))·g'(x) dx = ∫ f(u) du.",Medium,One of the commonly used techniques in integration.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=u_Substitution_Substitution_Rule; mode=hypothesized; source=hypothesized; confidence=0.60; steps=2; OBJ_1=formula_box; BOX:C(0,0,0),w=11.2,h=2.6; P: TL(-5.6,1.3,0), TR(5.6,1.3,0), BR(5.6,-1.3,0), BL(-5.6,-1.3,0); E: TOP(TL,TR,L=11.2,type=box_edge), RIGHT(TR,BR,L=2.6,type=box_edge), BOTTOM(BR,BL,L=11.2,type=box_edge), LEFT(BL,TL,L=2.6,type=box_edge); TEXT:A(0,0,0),align=center,content='Let u=g(x), du=g′(x)dx ⇒ ∫ f(g(x))g′(x)dx = ∫ f(u)du'; OPS: create_box(C=0,0,0,w=11.2,h=2.6), place_text(A=0,0,0)."
Disk_and_Washer_Method,"For a solid of revolution about the x-axis, volume can be computed by V = π∫[a,b] (R(x)^2 − r(x)^2) dx, where R is outer radius and r is inner radius (disk is the special case r=0).",Medium,Standard technique for volumes of solids of revolution in integral calculus.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Disk_and_Washer_Method; mode=hypothesized; source=hypothesized; confidence=0.55; steps=10; OBJ_1=axes; P: X1(-3,0,0), X2(3,0,0), Y1(0,-2.5,0), Y2(0,2.5,0), O(0,0,0); E: XAXIS(X1,X2,L=6.0,type=x_axis), YAXIS(Y1,Y2,L=5.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=region_curve; P: A(-2,0,0), B(2,0,0), Ptop(0,1.8,0); E: curve(A,B,type=function_graph), base(A,B,type=interval); REL: region_under_curve_about_x_axis; OBJ_3=cross_section; P: x0(1,0,0), Rpt(1,1.2,0); E: radius(x0,Rpt,L=1.2,type=radius); REL: disk_or_washer_at(x=x0); OBJ_4=formula_box; BOX:C(0,-2.35,0),w=11.5,h=2.2; P: TL(-5.75,-1.25,0), TR(5.75,-1.25,0), BR(5.75,-3.45,0), BL(-5.75,-3.45,0); E: TOP(TL,TR,L=11.5,type=box_edge), RIGHT(TR,BR,L=2.2,type=box_edge), BOTTOM(BR,BL,L=11.5,type=box_edge), LEFT(BL,TL,L=2.2,type=box_edge); TEXT:A2(0,-2.35,0),align=center,content='V = π∫(R(x)^2 − r(x)^2) dx   (disk: r=0)'; OPS: create_axes(O), draw_curve, highlight_region, draw_radius_slice, create_box(C=0,-2.35,0,w=11.5,h=2.2), place_text(A=0,-2.35,0)."
Extreme_Value_Theorem,"If f is continuous on a closed interval [a,b], then f attains an absolute maximum and an absolute minimum on [a,b].",Medium,Guarantees existence of global extrema on closed intervals; often used before optimization arguments.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Extreme_Value_Theorem; mode=hypothesized; source=hypothesized; confidence=0.60; steps=9; OBJ_1=axes; P: X1(-4,0,0), X2(4,0,0), Y1(0,-3,0), Y2(0,3,0), O(0,0,0); E: XAXIS(X1,X2,L=8.0,type=x_axis), YAXIS(Y1,Y2,L=6.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=continuous_curve_on_interval; P: A(-3,-0.5,0)[x=a], B(3,0.2,0)[x=b], MaxPt(-1,2.1,0)[abs_max], MinPt(1,-1.8,0)[abs_min]; E: curve(A,B,type=continuous_curve); REL: on_interval(A,B), extreme_points(MaxPt,MinPt); OBJ_3=formula_box; BOX:C(0,-2.6,0),w=11.2,h=2.4; P: TL(-5.6,-1.4,0), TR(5.6,-1.4,0), BR(5.6,-3.8,0), BL(-5.6,-3.8,0); E: TOP(TL,TR,L=11.2,type=box_edge), RIGHT(TR,BR,L=2.4,type=box_edge), BOTTOM(BR,BL,L=11.2,type=box_edge), LEFT(BL,TL,L=2.4,type=box_edge); TEXT:A2(0,-2.6,0),align=center,content='f continuous on [a,b] ⇒ f has absolute max and min on [a,b]'; OPS: create_axes(O), draw_curve(A,B), mark_point(MaxPt), mark_point(MinPt), create_box(C=0,-2.6,0,w=11.2,h=2.4), place_text(A=0,-2.6,0)."
Fermats_Theorem_Stationary_Point_Condition,"If f has a local maximum or local minimum at an interior point c and f is differentiable at c, then f′(c)=0.",Medium,Used to identify critical points as candidates for local extrema.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Fermats_Theorem_Stationary_Point_Condition; mode=hypothesized; source=hypothesized; confidence=0.60; steps=8; OBJ_1=axes; P: X1(-4,0,0), X2(4,0,0), Y1(0,-3,0), Y2(0,3,0), O(0,0,0); E: XAXIS(X1,X2,L=8.0,type=x_axis), YAXIS(Y1,Y2,L=6.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=curve_with_local_extremum; P: Cpt(0,1.6,0)[local_extremum], T1(-2,0.3,0), T2(2,0.3,0); E: curve(T1,T2,type=smooth_curve); E2: tangent(Cpt,dir=(1,0,0),type=tangent_line); REL: tangent_horizontal(at=Cpt), derivative_zero(at=Cpt); OBJ_3=formula_box; BOX:C(0,-2.6,0),w=11.0,h=2.2; P: TL(-5.5,-1.5,0), TR(5.5,-1.5,0), BR(5.5,-3.7,0), BL(-5.5,-3.7,0); E: TOP(TL,TR,L=11.0,type=box_edge), RIGHT(TR,BR,L=2.2,type=box_edge), BOTTOM(BR,BL,L=11.0,type=box_edge), LEFT(BL,TL,L=2.2,type=box_edge); TEXT:A2(0,-2.6,0),align=center,content='Local extremum at interior c (differentiable) ⇒ f′(c)=0'; OPS: create_axes(O), draw_curve, mark_point(Cpt), draw_tangent(Cpt), create_box(C=0,-2.6,0,w=11.0,h=2.2), place_text(A=0,-2.6,0)."
Mean_Value_Theorem,"If f is continuous on [a,b] and differentiable on (a,b), then there exists c in (a,b) such that f′(c) = (f(b) − f(a)) / (b − a).",Medium,Connects average rate of change to an instantaneous slope; foundational for many calculus results.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Mean_Value_Theorem; mode=hypothesized; source=hypothesized; confidence=0.60; steps=10; OBJ_1=axes; P: X1(-4,0,0), X2(4,0,0), Y1(0,-3,0), Y2(0,3,0), O(0,0,0); E: XAXIS(X1,X2,L=8.0,type=x_axis), YAXIS(Y1,Y2,L=6.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=curve_and_secant; P: A(-3,-1.0,0)[x=a], B(3,1.5,0)[x=b], Cpt(0,0.4,0)[x=c]; E: curve(A,B,type=smooth_curve), secant(A,B,type=secant_line), tangent(Cpt,parallel_to=secant,type=tangent_line); REL: tangent_parallel_secant(at=Cpt); OBJ_3=formula_box; BOX:C(0,-2.6,0),w=11.4,h=2.4; P: TL(-5.7,-1.4,0), TR(5.7,-1.4,0), BR(5.7,-3.8,0), BL(-5.7,-3.8,0); E: TOP(TL,TR,L=11.4,type=box_edge), RIGHT(TR,BR,L=2.4,type=box_edge), BOTTOM(BR,BL,L=11.4,type=box_edge), LEFT(BL,TL,L=2.4,type=box_edge); TEXT:A2(0,-2.6,0),align=center,content='∃c∈(a,b): f′(c) = (f(b)−f(a))/(b−a)'; OPS: create_axes(O), draw_curve(A,B), draw_line(A,B), mark_point(Cpt), draw_tangent(Cpt), create_box(C=0,-2.6,0,w=11.4,h=2.4), place_text(A=0,-2.6,0)."
